Row Labels,Aspicilia,Brachythecium,Caloplaca,Candelariella,Cetraria,Cladonia,Cladonia cariosa,Cladonia chlorophaea grp.,Cladonia pocillum/magyarica,Cladonia rei,Cladonia robbinsii,Cladonia symphycarpa,Cladonia toninoides,Crustose,Diploschistes muscorum,Lecidea grp.,Nostoc,Ochrolechia,Peltigera castanea,Phaeophyscia constipata,Phaeorrhiza,Physconia muscigena,Polytrichum,Selaginella densa,Syntrichia ruralis,Xanthoparmelia camtschadalis,Xanthoparmelia wyomingica
SS-01,,1,1,1,,,,,1,,1,,,,,1,,1,,1,,1,,1,,1,1
SS-02,,,1,1,,1,,,1,1,1,1,,,,1,,1,,,,,,1,,1,1
SS-03,,,,1,,,,1,1,1,1,,,,,,,,,,,1,,1,,,1
SS-04,,,,1,1,,,,1,1,1,,,,,1,,,,,,,,1,,1,1
SS-05,,1,1,1,,,,,1,1,1,1,,,,,,,,,,1,1,1,,1,1
SS-06,,,1,1,,,,1,,1,,1,1,,1,1,,,,,,1,,,1,,
SS-07,,1,1,1,,,,1,,1,,,1,,,,,,1,1,,1,,1,1,1,
SS-08,,1,,1,,1,,,1,1,,1,1,,1,1,,,,1,,1,,1,1,1,
SS-09,,,,1,,1,,,,,,,,1,,,,,,1,,1,,,1,,1
SS-10,,1,,1,,1,,1,1,1,,1,1,,1,1,,,,1,,1,,,,,1
SS-11,1,1,,1,,1,,,1,,,1,,,1,,1,,,1,,1,,,1,1,
SS-12,,1,,1,1,,1,1,1,,,1,,,1,1,,,,,,1,,1,1,1,1
SS-13,,1,1,1,,,,,,,,1,,,1,,,,,,,,,,,1,
SS-14,,1,1,1,,1,,,1,,,,,,1,,,,,1,1,1,,,,1,1
SS-15,,,1,1,,,,,,1,,1,,,1,1,,,,1,,,,,,,
SS-16,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,
SS-17,,,,1,,1,,1,,1,,1,,,1,,,,,1,,,,,1,1,
SS-18,,1,,1,,,,,1,,1,1,,,,1,,,,,,,,1,,,1
SS-19,,,1,1,,,,1,1,1,1,1,,,1,1,,,,,,1,,1,,,1
SS-20,,,,1,,1,,1,1,1,1,,,,,,,,,,,,,1,,1,1
