"","Species","AccSpeciesID","Seed dry mass","Seed length","Seed width","Seed shape"
"1","Chenopodium leptophyllum","12201","0.4796","n/a","n/a","n/a"
"2","Thlaspi arvense","n/a","n/a","n/a","n/a","n/a"
"3","Bassia scoparia","6962","1.33254","1.75666666666667","1.24","0.121464017289496"
"4","Artemisia frigida","5187","0.078224","n/a","n/a","n/a"
"5","Fallopia convolvulus","23920","5.9125","3.63625","2.50416666666667","0.0451588084938654"
"6","Suaeda calceoliformis","52280","0.3208","n/a","n/a","n/a"
"7","Sporobolus cryptandrus","51454","0.119066666666666","n/a","n/a","n/a"
"8","Gnaphalium uliginosum","26581","0.0212631578947368","0.55","n/a","n/a"
"9","Koeleria macrantha","31934","0.426332222222222","2.85555555555556","n/a","0.166182399575125"
"10","Poa compressa","42822","0.209476923076923","2.525","0.5","n/a"
"11","Plantago major","42544","0.194217435897436","1.393125","1.93","0.228021381326594"
"12","Hesperostipa comata","n/a","n/a","n/a","n/a","n/a"
"13","Carex duriuscula","n/a","n/a","n/a","n/a","n/a"
"14","Poa pratensis","42870","0.284671428571429","1.70714285714286","0.593545454545454","0.117718719594592"
"15","Androsace septentrionalis","3652","0.175822222222222","1.1125","0.56","n/a"
"16","Typha latifolia","55399","0.139455126086956","3.131","2.195","n/a"
"17","Carex praegracilis","10627","0.53248","n/a","n/a","n/a"
"18","Androsace occidentalis","n/a","n/a","n/a","n/a","n/a"
"19","Carex inops subsp. heliophila","293666","2.48","n/a","n/a","n/a"
"20","Juncus balticus","31457","0.0564246153846154","0.9","0.426666666666667","n/a"
"21","Poa palustris","42865","0.184111111111111","n/a","0.78","1.15"
"22","Carex spp.","n/a","n/a","n/a","n/a","n/a"
"23","Crepis tectorum","15203","0.2688","3.05","n/a","n/a"
"24","Potentilla rivalis","n/a","n/a","n/a","n/a","n/a"
"25","Potentilla norvegica","43700","0.110714285714286","1.05","n/a","n/a"
"26","Trifolium hybridum","n/a","n/a","n/a","n/a","n/a"
"27","Lepidium densifolium","n/a","n/a","n/a","n/a","n/a"
"28","Silene latifolia","n/a","n/a","n/a","n/a","n/a"
"29","Drymocallis arguta","n/a","n/a","n/a","n/a","n/a"
"30","Agrostis scabra","2050","0.0518333333333333","n/a","n/a","n/a"
"31","Sonchus asper","n/a","n/a","n/a","n/a","n/a"
"32","Chamaerhodos erecta","n/a","n/a","n/a","n/a","n/a"
"33","Potentilla pensylvanica","43708","0.1528","n/a","n/a","n/a"
"34","Festuca saximontana","n/a","n/a","n/a","n/a","n/a"
"35","Veronica peregrina","56267","0.0320909090909091","0.733333333333333","0.45","n/a"
"36","Juncus bufonius","n/a","n/a","n/a","n/a","n/a"
"37","Oenothera biennis/villosa","n/a","n/a","n/a","n/a","n/a"
"38","Erysimum inconspicuum","n/a","n/a","n/a","n/a","n/a"
"39","Calamagrostis canadensis","n/a","n/a","n/a","n/a","n/a"
